Codigo,Denominacion,Cargos,Abonos,Saldo Actual
54010110201,Indemnización ,15'352.85,0.00,91'524.09
54010111201,Jubilaciones y/o Retiros,0.00,0.00,0.00
54010113201,Bonificaciones e Incentivos (Celebraciones),3'666.10,0.00,20'430.57
54010113202,Bonificaciones e Incentivos (Convenio),9'795.92,0.00,53'877.56
54010115201,Seguro Social Aporte Patronal,60'715.81,0.00,308'418.33
54010116201,Aporte al Instituto Nacional Tecnológico (INATEC),5'647.98,0.00,30'451.48
54010117201,Gastos de cafeteria,1'249.50,0.00,3'856.50
54010119201,Uniformes,0.00,0.00,18'734.50
54010121201,Capacitación ,0.00,0.00,14'832.84
54010199201,Otros Gastos de Personal ,0.00,0.00,12'396.90
54020301201,Servicios de Información,3'662.43,0.00,21'974.58
54029901201,Honorarios profesionales,43'911.24,0.00,210'519.12
54029901202,Otros Servicios Contratados (Servicio de GPS ),936.1,0.00,6'235.83
54030101201,Pasajes y Traslados,0.00,0.00,0.00
54030201201,FLETES,0.00,0.00,421.18
54030401201,"Combustible, Lubricantes y Otros",10'373.38,0.00,70'150.17
54030401301,"Combustible, Lubricantes y Otros",0.00,0.00,0.00
54030901201,Depreciacion de Vehiculos,3'845.55,0.00,22'035.74
54031001201,"Telefonos, Telefax, fax (Celulares)",5'596.90,0.00,34'269.43
54031001202,"Telefonos, Telefax, fax",1'020.94,0.00,3'781.78
54039901201,Otros Gastos de Transporte y Comunicación (Internet),2'527.08,0.00,17'689.56
54040301203,Mantenimiento y reparación de equipo de oficina y computo,6'226.13,0.00,23'012.15
54040401201,Agua,885.82,0.00,7'347.61
54040401202,Energía eléctrica,1'638.53,0.00,7'872.11
54040501201,Alquileres de Inmuebles,34'063.52,0.00,204'381.16
54040801201,Depreciación  de Equipos y Mobiliario,2'013.08,0.00,15'441.51
54040801301,Depreciación  de Equipos y Mobiliario,0.00,0.00,0.00
54040901201,Depreciación de Equipos de cómputo,2'325.79,0.00,13'954.76
54050101201,"Impuestos, Multas y Tasas Municipales",6'209.75,0.00,40'495.06
54050701201,"Papeleria, utiles y otros materiales de Limpieza",14'954.03,0.00,89'232.52
54050701202,"Papeleria, utiles y otros materiales (Materiales de oficina)",1'846.54,0.00,17'545.50
54050701301,"Papeleria, utiles y otros materiales de Limpieza",7'910.57,0.00,68'585.24
54050801201,Gastos Legales,0.00,0.00,0.00
54050901201,Suscripciones y afiliaciones,6'317.69,0.00,6'317.69
54051001201,"Propaganda, Publicidad y Promociones",0.00,0.00,11'413.65
54059901201,Otros Gastos Generales (Beneficios a Clientes por Pronto pago),0.00,0.00,0.00
54059901202,Otros Gastos Generales (Gastos no deducibles),0.00,0.00,49'007.52
54059901203,Otros Gastos Generales,200,0.00,2'983.92
54059901301,Otros Gastos Generales,0.00,0.00,0.00
55010101201,Gastos por Ajustes Monetarios (Fondos Disponibles),782.42,0.00,30'080.89
56010101201,Aportes al Presupuesto de la CONAMI,3'502.93,0.00,21'017.54
63010101201,Resultado Neto del Ejercicio,54'946.96,0.00,1'161'153.23
63010201201,Resultado Neto del Ejercicio,0.00,0.00,0.00
